Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
dgiaMkRl4B;Scotland;therealchromedino;48960;36;1791934708;36600;0;Asteroid;League of Independent States;Human;1;2023-05-03 00:00:00;2023-05-05 00:00:00;4;123;249;248;-1/-2;web.apeappslauncher;0;6jr8X6ZC;1
DiGXCfYy;hi;Caliel03;541908;7;2551194325942;4707800;1;Asteroid;League of Independent States;Human;1;2021-08-22 00:00:00;2021-10-01 00:00:00;4;123;-229;-320;-1/-2;web.apewebapps;0;lis;1
dik0uPM0Pk;Doom;Nikola77;23604;4;171648629;7272;0;Abandoned World;League of Independent States;Human;1;2023-05-02 00:00:00;2023-05-07 00:00:00;3;123;-665;-474;-1/-2;ios.appstore;0;6jr8X6ZC;0
Dmz2uSCcY4;Drarga;Abdelhay04;182620;29;25012585350;136965;1;Earthlike;United Earth;Human;1;2022-05-28 00:00:00;2022-06-02 00:00:00;4;123;608;655;0/0;android.gplay;0;earth;0
dowvjN3NVl;MooMoon;seabass13;2726862;22;7845064719662;2876957;1;Red Planet;United Earth;Human;1;2022-11-11 00:00:00;2023-05-09 00:00:00;4;123;889;633;51/-39;web.apewebapps;0;vBun9QAw;1
dTNC7etilV;Refugee;aegonunlikley;245711;1;10126672487;41214;0;Red Planet;United Earth;Human;0;2023-05-01 00:00:00;;4;123;688;882;-1/0;web.windowsstore;0;AgH9AN7Fp7;1
DXcarTivd2;3;Caliel03;33331;51;232819474;6985;1;Lunar;United Earth;Human;1;2023-05-04 00:00:00;2023-05-09 00:00:00;4;123;934;-404;-21/-76;windows.windowsstore;1;3WntXPpaEB;1
dXM3Q8At50;Hosnian Prime;Infamy1;166686;5;427613753;2565;0;Lunar;United Earth;Human;1;2023-05-02 00:00:00;2023-05-09 00:00:00;4;123;46;-483;119/-67;android.gplay;0;eR0VlU0SbN;1
DyMiwE4N;Alpha Region;thayer4000;17612335;0;86208976656737780;4894806774;8;Red Planet;United Earth;Human;1;2022-05-04 00:00:00;2022-05-22 00:00:00;4;123;-354;-27;1/0;web.apewebapps;1;earth;1
e6q5Qo285p;Luna073;imhotep19;5070;2;11037306;2177;0;Lunar;United Earth;Human;0;2023-05-10 00:00:00;;2;123;950;-422;-21/-76;desktop.windows;0;DXcarTivd2;0
eOBGpKyU4P;EthanIDAH;EthanIDAH2;521390;69;1032974524;1981;0;Earthlike;United Earth;Human;1;2023-04-01 00:00:00;2023-05-12 00:00:00;4;123;-513;761;0/0;steam.windows;0;earth;1
