Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
ldXW4hdQiC;Easy Planet;crazycochon;121573;21;65177365291421;536117109;1;Earthlike;United Earth;Human;1;2021-09-27 00:00:00;1970-01-01 00:00:00;4;;637;-158;98/-32;steam.windows;0;;1
le4ym7likd;Bob;Eatbluepie;101448;2;1974769111;19466;5;Red Planet;United Earth;Human;1;2023-01-06 00:00:00;2023-02-09 00:00:00;4;123;799;739;51/-39;android.gplay;0;6uHQ4QwvB8;1
Lecpfhc8Gw;Marko-I;shockwavemk2;1539;0;3350477;2177;0;Lunar;United Earth;Human;0;2023-03-26 00:00:00;;1;123;-224;-712;0/2;steam.windows;0;hbDaYIBG7v;0
leDayQMs;Old Man Jinkins;Oldmanjinkins;68869;7;5398280555;78385;1;Earthlike;United Earth;Human;1;2020-06-09 00:00:00;2020-06-19 00:00:00;4;123;738;868;0/0;ios.appstore;0;earth;0
leDayQMskd;FutureHope;jpaulus;135559;4;60220657461;444239;0;Red Planet;United Earth;Human;1;2020-08-16 00:00:00;2022-04-26 00:00:00;3;123;725;-900;0/0;android.gplay;0;earth;0
LeU4pli7xi;My Colony;Physics59;8;75;12207420;1525928;0;Lava World;Alpha Draconians;Reptilian;0;2023-02-05 00:00:00;;4;121;-240;-203;106/-87;web.apewebapps;0;bCSrGMSnZz;0
Lf4yLjCVrX;Outpost;Blownapart;982;1;2584890;2632;0;Red Planet;United Earth;Human;0;2023-03-13 00:00:00;;0;123;190;-615;0/1;android.gplay;0;hz22MAQlHN;0
LFaRABrpWX;Mercantile;imhotep19;137211;19;37649858943;274394;0;Earthlike;United Earth;Human;0;2021-10-31 00:00:00;;4;123;-850;534;1/0;desktop.windows;0;8AmTr8WC;0
lfBy44UO;DeepSpace City 9;wintair;22346;3;628099585;28108;1;Red Planet;United Earth;Human;1;2022-07-19 00:00:00;2022-08-29 00:00:00;4;123;263;-763;107/-65;web.apewebapps;0;earth;1
LFcXEGfjzY;Domion Federation;RJSalamero2012;24147;40;105908002;4386;2;Earthlike;United Earth;Human;1;2023-01-30 00:00:00;2023-02-08 00:00:00;3;123;167;373;0/0;android.gplay;0;UmlelU0qMp;0
